Water_Temp,Avg_Wind,Gust,Wave_Height,Wave_Period,Gust_Dir
7.2 C,6kts,8kts,0.5m,3s,36 (NE) at 13/04/2018 08:50:00
7.2 C,5kts,8kts,0.5m,3s,38 (NE) at 13/04/2018 08:32:00
7.3 C,6kts,8kts,0.5m,3s,11 (N),17 (N) at 13/04/2018 08:11:00
7.3 C,9kts,12kts,0.5m,3s,342 (N) at 13/04/2018 07:53:00
7.3 C,9kts,12kts,0.5m,3s,342 (N) at 13/04/2018 07:35:00
7.3 C,7kts,10kts,0.5m,3s,355 (N) at 13/04/2018 07:14:00
7.2 C,8kts,12kts,0.6m,4s,24 (NE) at 13/04/2018 06:56:00
7.3 C,8kts,12kts,0.6m,4s,24 (NE) at 13/04/2018 06:38:00
7.3 C,8kts,11kts,0.6m,4s,5 (N) at 13/04/2018 06:17:00
7.4 C,7kts,9kts,0.6m,4s,353 (N) at 13/04/2018 05:59:00
7.4 C,7kts,10kts,0.6m,4s,15 (N) at 13/04/2018 05:41:00
7.6 C,7kts,9kts,0.6m,3s,38 (NE) at 13/04/2018 05:20:00
7.6 C,7kts,10kts,0.5m,4s,42 (NE) at 13/04/2018 05:02:00
7.6 C,6kts,9kts,0.5m,4s,52 (NE) at 13/04/2018 04:44:00
7.5 C,9kts,13kts,0.5m,3s,35 (NE) at 13/04/2018 04:23:00
7.2 C,10kts,13kts,0.6m,4s,34 (NE) at 13/04/2018 04:05:00
7.2 C,9kts,13kts,0.4m,4s,51 (NE) at 13/04/2018 03:44:00
7.2 C,9kts,13kts,0.5m,4s,35 (NE) at 13/04/2018 03:26:00
7.2 C,9kts,12kts,0.5m,4s,33 (NE) at 13/04/2018 03:08:00
7.2 C,9kts,13kts,0.4m,3s,35 (NE) at 13/04/2018 02:47:00
7.2 C,8kts,12kts,0.4m,3s,32 (NE) at 13/04/2018 02:29:00
7.2 C,8kts,11kts,0.4m,3s,39 (NE) at 13/04/2018 02:11:00
7.2 C,9kts,12kts,0.3m,3s,51 (NE) at 13/04/2018 01:50:00
7.2 C,10kts,12kts,0.3m,3s,36 (NE) at 13/04/2018 01:32:00
7.2 C,10kts,14kts,0.4m,3s,52 (NE) at 13/04/2018 01:14:00
